asin,best_offer,image,price,title
B09T4YK6QK,"Em até 12x R$ 379,61 sem juros",https://m.media-amazon.com/images/I/31i2nW6n3tL._AC_.jpg,4554.44,        Apple iPhone 13 (128 GB) - Luz das estrelas       
B0BF5V4RQH,"Em até 10x R$ 60,90 sem juros",https://m.media-amazon.com/images/I/31SXw+wxy7L._AC_.jpg,609.0,        Redmi 10C 64gb 3gb 4g Graphite Gray       
B0BVMXFWZ1,"Em até 10x R$ 98,48 sem juros",https://m.media-amazon.com/images/I/31-Dv1yvgNL._AC_.jpg,983.99,        Samsung Galaxy A14 128GB 4G Wi-Fi Tela 6.6'' Dual Chip 4GB RAM Câmera Tripla de até 50MP + Selfie 13MP Bateria de 5000mAh - Preto       
B0BRQPLLFP,"Em até 10x R$ 149,30 sem juros",https://m.media-amazon.com/images/I/415MIU3LpmL._AC_.jpg,1493.0,"        Xiaomi POCOPHONE X5 5G (8+256GB, Azul)       "
B0BXQ4YNV9,"Em até 10x R$ 180,40 sem juros",https://m.media-amazon.com/images/I/41jSOzzaEvL._AC_.jpg,1804.0,        Smartphone Xiaomi Redmi Note 12 Pro 5G Dual SIM 256GB - 8GB Ram (Versao Global) (Sky Blue)       
B0BVZ65S6Y,"Em até 10x R$ 70,05 sem juros",https://m.media-amazon.com/images/I/41ZPevoGtYL._AC_.jpg,699.87,"        Celular Xiaomi Redmi 12C 128GB / 4GB RAM/Dual Sim/Tela 6.71"" / Câmeras 50MP+0.08MP e 5MP - Graphite Gray (Global)       "
B0BRQM2HWL,"Em até 10x R$ 188,79 sem juros",https://m.media-amazon.com/images/I/412sb5Re0+L._AC_.jpg,1887.9,"        Smartphone Xiaomi POCO X5 Pro 5G Dual SIM 8GB 256GB 6,67"" FHD+ 108MP 5000mAh 67W Carregamento (Azul)       "
B0BRQKGTVM,"Em até 10x R$ 149,80 sem juros",https://m.media-amazon.com/images/I/41N53WbssoL._AC_.jpg,1498.0,"        Xiaomi POCOPHONE X5 5G (8+256GB, Preto)       "
B09T55NFSR,"Em até 12x R$ 354,12 sem juros",https://m.media-amazon.com/images/I/31RsJJcRCuL._AC_.jpg,4249.0,        Apple iPhone 13 (128 GB) - Meia-noite       
B0BZJ2LLGL,"Em até 10x R$ 107,86 sem juros",https://m.media-amazon.com/images/I/41uf5rbK77L._AC_.jpg,1078.15,        Smartphone Xiaomi Note 12 4G 128GB - 8GB Ram (Versao Global) (Onyx Gray)       
B0BXQ4L774,"Em até 10x R$ 180,58 sem juros",https://m.media-amazon.com/images/I/417Bhs4EIwL._AC_.jpg,1804.99,        Smartphone Xiaomi Redmi Note 12 Pro 5G Dual SIM 256GB - 8GB Ram (Versao Global) (Polar White)       
B0BVWMBQWW,"Em até 10x R$ 68,00 sem juros",https://m.media-amazon.com/images/I/41XUT45dXlL._AC_.jpg,680.0,        Smartphone Xiaomi Redmi 12C 128GB - 4GB Ram Ocean Blue (AZUL) (Azul)       
B0BRQMC66M,"Em até 10x R$ 187,90 sem juros",https://m.media-amazon.com/images/I/41gAxDlJSnL._AC_.jpg,1879.0,"        Smartphone Xiaomi POCO X5 Pro 5G Dual SIM 8GB 256GB 6,67"" FHD+ 108MP 5000mAh 67W Carregamento (Preto)       "
B0BSXQP3NW,"ou R$ 861,97 em até 10x de R$ 86,26 sem juros",https://m.media-amazon.com/images/I/31getObbcPL._AC_.jpg,788.99,        Smartphone Motorola Moto E22 4G 128GB 4GB RAM Preto       
B0BVX8YJJ2,"Em até 10x R$ 70,70 sem juros",https://m.media-amazon.com/images/I/41wWcid88fL._AC_.jpg,707.0,        Smartphone Xiaomi Redmi 12C 128GB - 4GB Ram (Cinza)       
B0BZJ299Z1,"Em até 10x R$ 112,00 sem juros",https://m.media-amazon.com/images/I/41ojcZpHdXL._AC_.jpg,1120.0,        Smartphone Xiaomi Note 12 4G 128GB - 8GB Ram (Versao Global) (Ice Blue)       
asin,best_offer,image,price,title
